TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1553501360456	70.601898	-38.698437	-31.133278	0.971352	-0.000110	0.000027	-0.237646	img_0_0_1553501360834478200.png;img_1_1_1553501360841076900.png
1553501360807	70.990822	-38.201656	-31.549181	0.971340	-0.001176	-0.004762	-0.237645	img_0_0_1553501361185869700.png;img_1_1_1553501361194051000.png
1553501361194	71.429710	-37.662762	-31.973097	0.971219	-0.004077	-0.016005	-0.237616	img_0_0_1553501361572615100.png;img_1_1_1553501361579540100.png
1553501361569	71.889748	-37.162457	-32.333740	0.971054	-0.005892	-0.024036	-0.237573	img_0_0_1553501361949378800.png;img_1_1_1553501361956541300.png
1553501361950	72.410698	-36.690376	-32.653618	0.970718	-0.026167	-0.016693	-0.238209	img_0_0_1553501362330532700.png;img_1_1_1553501362336536400.png
1553501362386	73.042824	-36.246887	-32.970699	0.970784	-0.022382	-0.017002	-0.238303	img_0_0_1553501362762085000.png;img_1_1_1553501362771569100.png
1553501362791	73.661453	-35.926567	-33.223366	0.970609	-0.029721	-0.011828	-0.238527	img_0_0_1553501363170246000.png;img_1_1_1553501363178135400.png
1553501363190	74.294998	-35.696083	-33.436115	0.970928	-0.016385	-0.015476	-0.238308	img_0_0_1553501363567901500.png;img_1_1_1553501363575627800.png
1553501363526	74.851151	-35.552441	-33.589172	0.971059	-0.009707	-0.013234	-0.238274	img_0_0_1553501363905264300.png;img_1_1_1553501363913423200.png
1553501363919	75.523727	-35.415771	-33.740025	0.971191	-0.000884	-0.001622	-0.238293	img_0_0_1553501364293947500.png;img_1_1_1553501364304140700.png
1553501364330	76.232292	-35.279964	-33.867428	0.971175	-0.001461	-0.005827	-0.238293	img_0_0_1553501364718174000.png;img_1_1_1553501364728131500.png
1553501364720	76.916016	-35.158718	-33.960445	0.971127	-0.002772	-0.011287	-0.238281	img_0_0_1553501365109472300.png;img_1_1_1553501365118381500.png
1553501365092	77.593605	-35.057907	-34.024117	0.971066	-0.008012	-0.012683	-0.238338	img_0_0_1553501365481129700.png;img_1_1_1553501365491326600.png
1553501365473	78.317688	-34.980152	-34.064220	0.971056	-0.004934	-0.015991	-0.238264	img_0_0_1553501365863288500.png;img_1_1_1553501365873093300.png
1553501365881	79.133827	-34.924667	-34.079205	0.971045	-0.004727	-0.016841	-0.238254	img_0_0_1553501366269817500.png;img_1_1_1553501366280206100.png
1553501366265	79.942978	-34.897404	-34.068977	0.971061	-0.004911	-0.015649	-0.238266	img_0_0_1553501366653986800.png;img_1_1_1553501366664311000.png
1553501366640	80.768776	-34.894703	-34.050194	0.971041	-0.005425	-0.016759	-0.238263	img_0_0_1553501367030694200.png;img_1_1_1553501367040712000.png
1553501367027	81.659447	-34.917141	-34.032909	0.971062	-0.004733	-0.015782	-0.238260	img_0_0_1553501367419048500.png;img_1_1_1553501367426568100.png
1553501367411	82.581375	-34.961895	-34.028919	0.971076	-0.003814	-0.015267	-0.238251	img_0_0_1553501367802842100.png;img_1_1_1553501367811959600.png
1553501367780	83.500488	-35.023682	-34.037598	0.971100	-0.003368	-0.013702	-0.238256	img_0_0_1553501368169922200.png;img_1_1_1553501368178744100.png
1553501368131	84.400711	-35.097038	-34.057243	0.971168	-0.001847	-0.007526	-0.238273	img_0_0_1553501368521636500.png;img_1_1_1553501368531721400.png
1553501368521	85.415787	-35.187416	-34.092270	0.971187	-0.001067	-0.004347	-0.238277	img_0_0_1553501368912156100.png;img_1_1_1553501368920860800.png
1553501368893	86.391937	-35.278873	-34.136726	0.971170	-0.001765	-0.007194	-0.238273	img_0_0_1553501369288295700.png;img_1_1_1553501369294137700.png
1553501369271	87.397400	-35.379990	-34.161209	0.971143	-0.002504	-0.010205	-0.238266	img_0_0_1553501369663829400.png;img_1_1_1553501369672743400.png
1553501369655	88.437416	-35.493557	-34.105846	0.971131	-0.002778	-0.011322	-0.238263	img_0_0_1553501370047381200.png;img_1_1_1553501370056335500.png
1553501370015	89.432411	-35.611492	-33.964725	0.971099	-0.003381	-0.013780	-0.238256	img_0_0_1553501370538810700.png;img_1_1_1553501370545865600.png
1553501370510	90.840637	-35.796223	-33.635731	0.971059	-0.004010	-0.016342	-0.238246	img_0_0_1553501371041626400.png;img_1_1_1553501371049790500.png
1553501370927	92.068489	-35.974979	-33.291164	0.971099	-0.003375	-0.013756	-0.238256	img_0_0_1553501371459020800.png;img_1_1_1553501371467362900.png
1553501371338	93.310242	-36.168930	-32.932945	0.971171	-0.001737	-0.007079	-0.238273	img_0_0_1553501371870689700.png;img_1_1_1553501371878959000.png
1553501371725	94.492615	-36.359077	-32.581352	0.971173	0.007019	-0.003229	-0.238252	img_0_0_1553501372258599100.png;img_1_1_1553501372265950500.png
1553501372103	95.655281	-36.524925	-32.228615	0.970989	0.020492	-0.005399	-0.238184	img_0_0_1553501372635647300.png;img_1_1_1553501372644013800.png
1553501372511	96.931923	-36.645767	-31.836893	0.971006	0.019834	-0.004889	-0.238182	img_0_0_1553501373043284000.png;img_1_1_1553501373052440300.png
1553501372898	98.163658	-36.702812	-31.455498	0.971043	0.017940	-0.004402	-0.238191	img_0_0_1553501373431032100.png;img_1_1_1553501373440927000.png
1553501373285	99.410393	-36.713875	-31.065968	0.971202	0.003575	-0.000877	-0.238230	img_0_0_1553501373817597600.png;img_1_1_1553501373827306800.png
1553501373684	100.694977	-36.709084	-30.658583	0.971208	0.000249	-0.000061	-0.238231	img_0_0_1553501374215222100.png;img_1_1_1553501374226325600.png
1553501374065	101.914307	-36.701813	-30.265448	0.971189	0.000208	0.000765	-0.238308	img_0_0_1553501374600540800.png;img_1_1_1553501374608167300.png
1553501374443	103.114822	-36.692047	-29.902176	0.970781	0.000416	0.001412	-0.239964	img_0_0_1553501374981173900.png;img_1_1_1553501374989982200.png
1553501374854	104.408165	-36.677692	-29.594749	0.970604	0.000044	0.000160	-0.240684	img_0_0_1553501375390875700.png;img_1_1_1553501375398287100.png
1553501375214	105.533188	-36.663445	-29.400019	0.970569	0.000004	0.000014	-0.240821	img_0_0_1553501375751654000.png;img_1_1_1553501375761072200.png
1553501375589	106.698181	-36.647331	-29.267710	0.970561	0.000000	0.000001	-0.240856	img_0_0_1553501376128075900.png;img_1_1_1553501376135825300.png
1553501375961	107.847031	-36.630192	-29.204357	0.970559	0.000000	0.000000	-0.240864	img_0_0_1553501376504024600.png;img_1_1_1553501376509808200.png
1553501376327	108.970779	-36.612156	-29.203062	0.970558	-0.000000	0.000000	-0.240866	img_0_0_1553501376867448200.png;img_1_1_1553501376875907200.png
1553501376714	110.152023	-36.591927	-29.219671	0.970558	-0.000000	-0.000000	-0.240866	img_0_0_1553501377251770600.png;img_1_1_1553501377261296700.png
1553501377089	111.289635	-36.571045	-29.243855	0.970503	0.000008	0.000031	-0.241088	img_0_0_1553501377628459200.png;img_1_1_1553501377636435500.png
1553501377458	112.402504	-36.549374	-29.278028	0.970490	0.000001	0.000003	-0.241142	img_0_0_1553501377998889800.png;img_1_1_1553501378007469100.png
1553501377851	113.580803	-36.525127	-29.312012	0.970487	-0.000000	0.000000	-0.241155	img_0_0_1553501378391164500.png;img_1_1_1553501378398833200.png
1553501378265	114.814438	-36.498325	-29.341713	0.970486	-0.000000	0.000000	-0.241158	img_0_0_1553501378804953300.png;img_1_1_1553501378814519400.png
1553501378673	116.022644	-36.470715	-29.364861	0.970486	-0.000000	0.000000	-0.241158	img_0_0_1553501379212552000.png;img_1_1_1553501379222424000.png
1553501379012	117.020889	-36.446842	-29.379471	0.970486	-0.000000	0.000000	-0.241158	img_0_0_1553501379554222500.png;img_1_1_1553501379562464200.png
1553501379345	117.996529	-36.422607	-29.389736	0.970486	-0.000000	0.000000	-0.241158	img_0_0_1553501379885258700.png;img_1_1_1553501379893612400.png
1553501379681	118.976074	-36.397392	-29.395994	0.970486	-0.000000	0.000000	-0.241158	img_0_0_1553501380223187600.png;img_1_1_1553501380231090300.png
1553501380029	119.985451	-36.370480	-29.398127	0.970486	-0.000000	-0.000000	-0.241158	img_0_0_1553501380570478200.png;img_1_1_1553501380578369400.png
1553501380413	121.093216	-36.339905	-29.395351	0.970485	-0.001242	0.000309	-0.241158	img_0_0_1553501380952890000.png;img_1_1_1553501380962670600.png
