Time, State, posX, posY, posZ, errorX, errorY, errorZ, errorYaw, ascendRate, adjustmentGain, delaytime
0.20, 0,-0.0159,-0.0026,4.6320,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
0.40, 0,-0.0049,0.0055,4.5991,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
0.60, 0,0.0052,0.0335,4.5780,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
0.80, 0,0.0130,0.0803,4.5708,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.00, 0,0.0183,0.1305,4.5623,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.20, 0,0.0254,0.2064,4.5463,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.40, 0,0.0311,0.3027,4.5223,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.60, 0,0.0356,0.3996,4.5225,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
1.80, 0,0.0401,0.5291,4.5277,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.00, 0,0.0435,0.6749,4.5391,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.20, 0,0.0457,0.8340,4.5542,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.40, 0,0.0454,0.9765,4.5641,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.60, 0,0.0426,1.1596,4.5731,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
2.80, 0,0.0394,1.3509,4.5737,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.00, 0,0.0344,1.5557,4.5856,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.20, 0,0.0282,1.7704,4.5955,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.40, 0,0.0216,1.9906,4.6030,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.61, 0,0.0164,2.1790,4.6030,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
3.81, 0,0.0094,2.4059,4.6033,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.01, 0,0.0024,2.6349,4.6009,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.21, 0,-0.0048,2.8686,4.5976,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.41, 0,-0.0113,3.0604,4.5995,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.61, 0,-0.0195,3.2936,4.6023,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
4.81, 0,-0.0275,3.5345,4.6093,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
5.01, 0,-0.0346,3.7654,4.6067,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
5.21, 0,-0.0415,4.0059,4.5966,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
5.41, 0,-0.0466,4.2015,4.5990,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
5.61, 0,-0.0527,4.4422,4.5775,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
5.81, 0,-0.0584,4.6773,4.5681,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6.01, 0,-0.0616,4.9000,4.5821,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6.22, 0,-0.0652,5.1211,4.6017,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6.42, 0,-0.0698,5.3382,4.6104,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6.62, 0,-0.0737,5.5257,4.6219,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
6.82, 0,-0.0781,5.7437,4.6401,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
7.02, 0,-0.0829,5.9577,4.6590,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
7.22, 0,-0.0876,6.1785,4.6740,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
7.42, 0,-0.0930,6.4010,4.6872,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
7.62, 0,-0.0962,6.5846,4.6944,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
7.82, 0,-0.1002,6.8038,4.6924,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
8.02, 0,-0.1031,7.0208,4.7006,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
8.22, 0,-0.1061,7.2377,4.7116,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
8.42, 0,-0.1069,7.4229,4.7195,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
8.62, 0,-0.1073,7.6378,4.7241,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
8.82, 0,-0.1083,7.8539,4.7261,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
9.02, 0,-0.1088,8.0702,4.7256,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
9.22, 0,-0.1085,8.2844,4.7203,-1.0000,-1.0000,-1.0000,0.00,0.000,0.000,0.200
